event_id,event_title,event_type,date,prefecture,regulation,capacity,total_results
952791,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,東京都,スタンダード,64,16
952792,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,東京都,スタンダード,64,16
952793,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,千葉県,スタンダード,64,16
952794,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-07,千葉県,スタンダード,64,16
952795,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-08,東京都,スタンダード,64,16
952796,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-10,東京都,スタンダード,64,16
952797,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,千葉県,スタンダード,64,16
952798,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,東京都,スタンダード,64,16
952799,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,千葉県,スタンダード,64,16
952800,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,東京都,スタンダード,64,16
952801,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,千葉県,スタンダード,64,16
952802,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,千葉県,スタンダード,64,16
952803,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,東京都,スタンダード,64,16
952804,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,東京都,スタンダード,64,16
952805,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,東京都,スタンダード,64,16
952806,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,千葉県,スタンダード,64,16
952807,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-13,東京都,スタンダード,64,16
952808,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-14,千葉県,スタンダード,64,16
952858,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,山梨県,スタンダード,64,8
